breed,count
Chihuahua,0
Japanese Spaniel,0
Maltese Dog,0
Pekinese,0
Shih-Tzu,0
Blenheim Spaniel,0
Papillon,0
Toy Terrier,0
Rhodesian Ridgeback,0
Afghan Hound,0
Basset,0
Beagle,0
Bloodhound,0
Bluetick,0
Black-And-Tan Coonhound,0
Walker Hound,0
English Foxhound,0
Redbone,0
Borzoi,0
Irish Wolfhound,0
Italian Greyhound,0
Whippet,0
Ibizan Hound,0
Norwegian Elkhound,0
Otterhound,0
Saluki,0
Scottish Deerhound,0
Weimaraner,0
Staffordshire Bullterrier,0
American Staffordshire Terrier,0
Bedlington Terrier,0
Border Terrier,0
Kerry Blue Terrier,0
Irish Terrier,0
Norfolk Terrier,0
Norwich Terrier,0
Yorkshire Terrier,0
Wire-Haired Fox Terrier,0
Lakeland Terrier,0
Sealyham Terrier,0
Airedale,0
Cairn,0
Australian Terrier,0
Dandie Dinmont,0
Boston Bull,0
Miniature Schnauzer,0
Giant Schnauzer,0
Standard Schnauzer,0
Scotch Terrier,0
Tibetan Terrier,0
Silky Terrier,0
Soft-Coated Wheaten Terrier,0
West Highland White Terrier,0
Lhasa,0
Flat-Coated Retriever,0
Curly-Coated Retriever,0
Golden Retriever,0
Labrador Retriever,0
Chesapeake Bay Retriever,0
German Short-Haired Pointer,0
Vizsla,0
English Setter,0
Irish Setter,0
Gordon Setter,0
Brittany Spaniel,0
Clumber,0
English Springer,0
Welsh Springer Spaniel,0
Cocker Spaniel,0
Sussex Spaniel,0
Irish Water Spaniel,0
Kuvasz,0
Schipperke,0
Groenendael,0
Malinois,0
Briard,0
Kelpie,0
Komondor,0
Old English Sheepdog,0
Shetland Sheepdog,0
Collie,0
Border Collie,0
Bouvier Des Flandres,0
Rottweiler,0
German Shepherd,0
Doberman,0
Miniature Pinscher,0
Greater Swiss Mountain Dog,0
Bernese Mountain Dog,0
Appenzeller,0
Entlebucher,0
Boxer,0
Bull Mastiff,0
Tibetan Mastiff,0
French Bulldog,0
Great Dane,0
Saint Bernard,0
Malamute,0
Siberian Husky,0
Affenpinscher,0
Basenji,0
Pug,0
Leonberg,0
Newfoundland,0
Great Pyrenees,0
Samoyed,0
Pomeranian,0
Chow,0
Keeshond,0
Brabancon Griffon,0
Pembroke,0
Cardigan,0
Toy Poodle,0
Miniature Poodle,0
Standard Poodle,0
Mexican Hairless,0
Dingo,0
Dhole,0
African Hunting Dog,0
